0	0.2140625	0.1765625	0.39375	0.52734375
1	0.36796875	0.3890625	0.08359375	0.26015625
2	0.21796875	0.17578125	0.378125	0.2640625
3	0.4234375	0.45234375	0.1625	0.08984375
4	0.31171875	0.6421875	0.23671875	0.0609375
5	0.5828125	0.328125	0.02109375	0.03125
5	0.57421875	0.390625	0.03203125	0.05859375
5	0.43046875	0.4125	0.0265625	0.0375
5	0.4640625	0.45234375	0.02109375	0.03515625
5	0.52109375	0.5078125	0.034375	0.04140625
6	0.596875	0.5984375	0.078125	0.09921875
7	0.21796875	0.30859375	0.0140625	0.03359375
7	0.2359375	0.3765625	0.01953125	0.0359375
7	0.29375	0.41640625	0.015625	0.0359375
8	0.46953125	0.5078125	0.09140625	0.11796875
9	0.5125	0.43046875	0.07421875	0.0625
10	0.33203125	0.4921875	0.071875	0.05234375
11	0.57890625	0.13125	0.39609375	0.2078125
11	0.1453125	0.12265625	0.43828125	0.128125
12	0.03828125	0.01640625	0.0765625	0.17109375
13	0.1484375	0.015625	0.15234375	0.1265625
13	0.31015625	0.0140625	0.1375	0.09609375
13	0.45078125	0.0125	0.1609375	0.11015625
13	0.59453125	0.0015625	0.21796875	0.12578125
13	0.80390625	0.0	0.16640625	0.13046875
